,average,code,reference,speed,travelTimeMinutes,type,score,c-Value,speedBucket,segmentClosed,date,time
259,16.0,406789118,19.0,18.0,0.108,XDS,20.0,,2.0,,2022-09-20,10:16
260,18.0,406789117,19.0,18.0,0.204,XDS,20.0,,2.0,,2022-09-20,10:16
261,34.0,474390838,35.0,19.0,0.054,XDS,30.0,0.0,1.0,,2022-09-20,10:16
262,34.0,365751304,35.0,19.0,0.387,XDS,30.0,0.0,1.0,,2022-09-20,10:16
263,113.0,474372999,114.0,82.0,0.104,XDS,30.0,11.0,2.0,,2022-09-20,10:16
264,60.0,365733482,64.0,60.0,0.112,XDS,20.0,,2.0,,2022-09-20,10:16
265,39.0,474337489,39.0,39.0,0.114,XDS,10.0,,3.0,,2022-09-20,10:16
266,51.0,474340687,53.0,45.0,0.137,XDS,30.0,74.0,2.0,,2022-09-20,10:16
267,51.0,474349428,53.0,43.0,0.024,XDS,30.0,74.0,2.0,,2022-09-20,10:16
268,51.0,365737170,53.0,40.0,0.179,XDS,30.0,74.0,2.0,,2022-09-20,10:16
269,43.0,406789120,47.0,43.0,0.278,XDS,20.0,,3.0,,2022-09-20,10:16
270,55.0,406789113,53.0,45.0,0.186,XDS,30.0,0.0,2.0,,2022-09-20,10:16
271,45.0,406789112,48.0,42.0,0.125,XDS,30.0,99.0,2.0,,2022-09-20,10:16
272,45.0,406789114,48.0,39.0,0.215,XDS,30.0,99.0,2.0,,2022-09-20,10:16
273,42.0,365782582,43.0,42.0,0.077,XDS,20.0,,3.0,,2022-09-20,10:16
274,40.0,406789109,42.0,24.0,0.098,XDS,30.0,0.0,1.0,,2022-09-20,10:16
275,50.0,406789108,53.0,37.0,0.068,XDS,30.0,0.0,2.0,,2022-09-20,10:16
276,50.0,365758908,53.0,37.0,0.323,XDS,30.0,0.0,2.0,,2022-09-20,10:16
277,34.0,406789110,47.0,34.0,0.069,XDS,20.0,,2.0,,2022-09-20,10:16
278,56.0,406789107,56.0,56.0,0.045,XDS,20.0,,3.0,,2022-09-20,10:16
279,98.0,474344881,101.0,76.0,0.973,XDS,30.0,45.0,2.0,,2022-09-20,10:16
280,100.0,365743516,103.0,100.0,0.645,XDS,30.0,100.0,3.0,,2022-09-20,10:16
281,18.0,365677332,19.0,14.0,0.203,XDS,20.0,,2.0,,2022-09-20,10:16
282,35.0,365650985,39.0,37.0,0.084,XDS,30.0,100.0,3.0,,2022-09-20,10:16
283,24.0,365637103,37.0,8.0,0.271,XDS,30.0,100.0,0.0,,2022-09-20,10:16
284,24.0,365618598,37.0,11.0,0.382,XDS,30.0,100.0,0.0,,2022-09-20,10:16
285,32.0,365636286,42.0,35.0,0.129,XDS,30.0,100.0,2.0,,2022-09-20,10:16
286,35.0,365700545,43.0,29.0,2.078,XDS,30.0,100.0,2.0,,2022-09-20,10:16
287,42.0,365718884,50.0,35.0,1.631,XDS,30.0,100.0,2.0,,2022-09-20,10:16
288,24.0,365760932,32.0,29.0,0.025,XDS,30.0,100.0,2.0,,2022-09-20,10:16
289,24.0,365628249,32.0,31.0,0.067,XDS,30.0,100.0,3.0,,2022-09-20,10:16
290,24.0,365737336,32.0,32.0,0.059,XDS,30.0,100.0,3.0,,2022-09-20,10:16
291,98.0,365683042,103.0,105.0,0.343,XDS,30.0,100.0,3.0,,2022-09-20,10:16
292,63.0,365667858,64.0,43.0,0.33,XDS,30.0,51.0,2.0,,2022-09-20,10:16
293,98.0,365643449,100.0,85.0,0.402,XDS,30.0,100.0,2.0,,2022-09-20,10:16
294,53.0,365737353,58.0,34.0,0.022,XDS,30.0,100.0,1.0,,2022-09-20,10:16
295,53.0,365695345,58.0,34.0,0.045,XDS,30.0,100.0,1.0,,2022-09-20,10:16
296,53.0,365617181,58.0,34.0,0.057,XDS,30.0,100.0,1.0,,2022-09-20,10:16
297,53.0,365721320,58.0,43.0,1.583,XDS,30.0,100.0,2.0,,2022-09-20,10:16
298,68.0,365739260,68.0,64.0,0.469,XDS,30.0,100.0,3.0,,2022-09-20,10:16
299,58.0,365617719,68.0,50.0,1.352,XDS,30.0,100.0,2.0,,2022-09-20,10:16
300,74.0,365625528,77.0,79.0,0.11,XDS,30.0,100.0,3.0,,2022-09-20,10:16
301,50.0,365671740,50.0,43.0,0.522,XDS,30.0,100.0,2.0,,2022-09-20,10:16
302,79.0,365742417,82.0,76.0,0.133,XDS,30.0,100.0,2.0,,2022-09-20,10:16
303,64.0,365613225,68.0,72.0,0.137,XDS,30.0,100.0,3.0,,2022-09-20,10:16
304,55.0,365633693,55.0,50.0,0.377,XDS,30.0,100.0,2.0,,2022-09-20,10:16
305,47.0,365617814,48.0,40.0,0.379,XDS,30.0,86.0,2.0,,2022-09-20,10:16
